Concetto,Tipo,Specificità,Def_ID,Definizione,Synset trovato,Synset corretto,Corretto,Score,Glossa WordNet
Music,Astratto,Generico,1,"art composed of melodious sounds produced by various instruments, it can have different genres and also contain a vocal part",music.n.04,music.n.01,False,0.2919,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,2,"&quot;An abstract concept is something non-physical and generic.&quot;            Justice, Ontology, good weather, happiness,      e.g., justice involves the application of laws.            Intalogy is a behavior.      Happiness is a sensation or an illusion, a way of thinking, of seeing things from different perspectives.",music.n.01,music.n.01,True,0.0,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
Music,Astratto,Generico,3,A set of sounds made simultaneously by people and/or musical instruments.,music.n.04,music.n.01,False,0.3981,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,4,"The group of every possibile musical notes combination, existing and not.      Those combination can be both perceived with auditory system and visual system.",music.n.03,music.n.01,False,0.0547,musical activity (singing or whistling etc.)
Music,Astratto,Generico,5,Sound created by one or more musical instruments,music.n.04,music.n.01,False,0.248,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,6,"music:  a mixture of sounds, that can be made of  instrumental and lyrics.            An instrumental sound can be composed by standard  instruments such as guitars, drums, keyboards, piano or even by orchestral ones such as violoncello or violin; it  may or may not include some lyrics, that can be sung by a single person or multiple people or can even be represented as a speech.",music.n.04,music.n.01,False,0.1137,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,7,"A living organism that is rooted in the ground through roots, usually formed by a log, branches and leaves. These organisms gain their nutriment through photosynthesis.      Some of these organism can give fruits.",music.n.01,music.n.01,True,0.0,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
Music,Astratto,Generico,8,sequence of sounds with the aim of triggering emotions in the human being,music.n.04,music.n.01,False,0.1595,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,9,Sequence of sounds capable of arousing emotions in the listener,music.n.04,music.n.01,False,0.1595,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,10,Set of sounds and harmonies that are heard,music.n.04,music.n.01,False,0.2002,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,11,"Danger is a condition in which there is a possibility of harm, damage, or loss.",music.n.01,music.n.01,True,0.0,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
Music,Astratto,Generico,12,Musica: suoni e rumori prodotti tramite strumenti seguendo un ritmo per generare una composizione.,music.n.01,music.n.01,True,0.0,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
Music,Astratto,Generico,13,A sound made using instruments thats usually considered beautiful and relaxing,music.n.04,music.n.01,False,0.0981,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,14,Plant with a woody trunk and leaves,music.n.01,music.n.01,True,0.0,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
Music,Astratto,Generico,15,Composition of sounds that form a melody,music.n.04,music.n.01,False,0.2103,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,16,combination of sounds audible to humans,music.n.04,music.n.01,False,0.2002,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,17,Set of sounds produced and arranged in a certain way to form a melody,music.n.04,music.n.01,False,0.2495,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,18,"Pleasant concept where sounds go in harmony, brings together notes, time and metrics",music.n.04,music.n.01,False,0.1282,the sounds produced by singers or musical instruments (or reproductions of such sounds)
Music,Astratto,Generico,19,"Sequence of sounds, eventually tuned, reproduced for artistic or entertainment purpose",music.n.04,music.n.01,False,0.1396,the sounds produced by singers or musical instruments (or reproductions of such sounds)
