concept,def_id,definition,genus,n_candidates,pred_synset,pred_gloss,target_synset,target_reachable,score,status,is_correct
music,1,"art composed of melodious sounds produced by various instruments, it can have different genres and also contain a vocal part",art,137,abstractionism.n.01,an abstract genre of art; artistic content depends on internal form rather than pictorial representation,music.n.01,False,0.563322,ok,False
music,2,"&quot;An abstract concept is something non-physical and generic.&quot;            Justice, Ontology, good weather, happiness,      e.g., justice involves the application of laws.            Intalogy is a behavior.      Happiness is a sensation or an illusion, a way of thinking, of seeing things from different perspectives.",concept,244,fact.n.04,a concept whose truth can be proved,music.n.01,False,0.440064,ok,False
music,3,A set of sounds made simultaneously by people and/or musical instruments.,set,134,choir.n.02,a family of similar musical instrument playing together,music.n.01,False,0.623913,ok,False
music,4,"The group of every possibile musical notes combination, existing and not.      Those combination can be both perceived with auditory system and visual system.",group,300,blind.n.01,"people who have severe visual impairments, considered as a group",music.n.01,False,0.363352,ok,False
music,5,Sound created by one or more musical instruments,sound,206,music.n.04,(music) the sounds produced by singers or musical instruments (or reproductions of such sounds),music.n.01,False,0.683583,ok,False
music,6,"music:  a mixture of sounds, that can be made of  instrumental and lyrics.            An instrumental sound can be composed by standard  instruments such as guitars, drums, keyboards, piano or even by orchestral ones such as violoncello or violin; it  may or may not include some lyrics, that can be sung by a single person or multiple people or can even be represented as a speech.",music,278,monophony.n.01,music consisting of a single vocal part (usually with accompaniment),music.n.01,True,0.682455,ok,False
music,7,"A living organism that is rooted in the ground through roots, usually formed by a log, branches and leaves. These organisms gain their nutriment through photosynthesis.      Some of these organism can give fruits.",living,12,meal_ticket.n.01,a source of income or livelihood,music.n.01,False,0.179786,ok,False
music,8,sequence of sounds with the aim of triggering emotions in the human being,sequence,48,rotation.n.04,a planned recurrent sequence (of crops or personnel etc.),music.n.01,False,0.346557,ok,False
music,9,Sequence of sounds capable of arousing emotions in the listener,sequence,48,rotation.n.04,a planned recurrent sequence (of crops or personnel etc.),music.n.01,False,0.373166,ok,False
music,10,Set of sounds and harmonies that are heard,set,134,push-button_radio.n.01,a radio receiver that can be tuned by pressing buttons,music.n.01,False,0.404382,ok,False
music,11,"Danger is a condition in which there is a possibility of harm, damage, or loss.",condition,300,riskiness.n.01,a state of danger involving risk,music.n.01,False,0.660905,ok,False
music,12,Musica: suoni e rumori prodotti tramite strumenti seguendo un ritmo per generare una composizione.,e,6,e.n.05,the 5th letter of the Roman alphabet,music.n.01,False,0.127951,ok,False
music,13,A sound made using instruments thats usually considered beautiful and relaxing,sound,206,tootle.n.01,the sound of casual playing on a musical instrument,music.n.01,False,0.581421,ok,False
music,14,Plant with a woody trunk and leaves,plant,300,american_holly.n.01,an evergreen tree,music.n.01,False,0.572151,ok,False
music,15,Composition of sounds that form a melody,composition,143,fantasia.n.01,a musical composition of a free form usually incorporating several familiar themes,music.n.01,False,0.713748,ok,False
music,16,combination of sounds audible to humans,combination,35,babel.n.02,a confusion of voices and other sounds,music.n.01,False,0.489756,ok,False
music,17,Set of sounds produced and arranged in a certain way to form a melody,set,134,choir.n.02,a family of similar musical instrument playing together,music.n.01,False,0.370129,ok,False
music,18,"Pleasant concept where sounds go in harmony, brings together notes, time and metrics",concept,244,fechner's_law.n.01,(psychophysics) the concept that the magnitude of a subjective sensation increases proportional to the logarithm of the stimulus intensity; based on early work by E. H. Weber,music.n.01,False,0.420293,ok,False
music,19,"Sequence of sounds, eventually tuned, reproduced for artistic or entertainment purpose",sequence,48,rotation.n.04,a planned recurrent sequence (of crops or personnel etc.),music.n.01,False,0.359841,ok,False
music,20,"Woody plant covered with cortex. Has  branches, roots and leaves, it does the photosynthesis.",plant,300,tumbleweed.n.01,any plant that breaks away from its roots in autumn and is driven by the wind as a light rolling mass,music.n.01,False,0.540994,ok,False
music,21,"It&#039;s a sound produced by musical instruments, often accompanied by the voice.",sound,206,music.n.04,(music) the sounds produced by singers or musical instruments (or reproductions of such sounds),music.n.01,False,0.794216,ok,False
music,22,"Understood as a living thing that sustains life by producing oxygen. It consists of a large vertical trunk rising from the ground, with roots at the base and a dense canopy of branches and leaves at the top.",thing,232,structure.n.04,a particular complex anatomical part of a living thing,music.n.01,False,0.49088,ok,False
music,23,A tree is a woody plant capable of growing in height and is made up of branches and leaves.,tree,300,tree.n.01,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,music.n.01,False,0.617125,ok,False
music,24,"a succession of sounds, called musical notes, which, when heard in sequence, cause pleasure to the human ear. It is often divided into genres like rap, trap, reagetton, techno...",succession,16,rotation.n.04,a planned recurrent sequence (of crops or personnel etc.),music.n.01,False,0.211686,ok,False
music,25,An arrangement of artificial sounds that conveys feelings,arrangement,227,contrivance.n.04,an artificial or unnatural or obviously contrived arrangement of details or parts etc.,music.n.01,False,0.572814,ok,False
music,26,Sounds that can be made by people or objects and are considered pleasant,sounds,206,noise.n.01,sound of any kind (especially unintelligible or dissonant sound),music.n.01,False,0.600221,ok,False
music,27,Insieme di suoni,,0,,,music.n.01,False,0.0,no_candidates,False
music,28,Harmonious composition of sound waves produced byanalog or digital instruments,composition,143,etude.n.01,a short composition for a solo instrument; intended as an exercise or to demonstrate technical virtuosity,music.n.01,False,0.460624,ok,False
ethics,1,"Philosophical thought aimed at explaining ideal human behavior, attempting to demonstrate what is right and what is wrong. It often depends on the historical period and sociocultural context.",right,98,human_right.n.01,(law) any basic right or freedom to which all human beings are entitled and in whose exercise a government may not interfere (including rights to life and liberty as well as freedom of thought and expression and equality before the law),ethic.n.01/ethics.n.01/morality.n.01,False,0.36465,ok,False
ethics,2,"The ABSTRACT and SPECIFIC concept is something non-physical and generic.            Politeness, good manners, nastiness, behavior, ethics, music.      Politeness can refer to behaviors, rules, etc.",abstract,66,claim.n.04,an informal right to something,ethic.n.01/ethics.n.01/morality.n.01,False,0.339306,ok,False
ethics,3,Branch of philosophy that focuses on defining correct and incorrect human behavior.,branch,25,judicial_branch.n.01,the branch of the United States government responsible for the administration of justice,ethic.n.01/ethics.n.01/morality.n.01,False,0.351199,ok,False
ethics,4,Common sentiment according with every human being should act to improve his and others quality of life,sentiment,13,predetermination.n.02,a mental determination or resolve in advance; an antecedent intention to do something,ethic.n.01/ethics.n.01/morality.n.01,False,0.41273,ok,False
ethics,5,philosophy or science that concern behaviors that are considered morally correct,philosophy,187,ethics.n.02,the philosophical study of moral values and rules,ethic.n.01/ethics.n.01/morality.n.01,False,0.606214,ok,False
ethics,6,"Etics: philosophy’s branch that studies every behaviour. In particular, it distinguishes itself from politics and law, because it concentrates on action’s sphere and whether they’re good or bad and not already of the legally permitted or prohibited ones or of the more politically appropriate ones.",philosophy,187,matrimonial_law.n.01,that branch of jurisprudence that studies the laws governing matrimony,ethic.n.01/ethics.n.01/morality.n.01,False,0.554152,ok,False
ethics,7,A container that can be used to store liquid tea and is usually used to pour tea into teacups.,container,300,caddy.n.01,a can for storing tea,ethic.n.01/ethics.n.01/morality.n.01,False,0.696243,ok,False
ethics,8,branch of philosophy that aims to ask whether certain behaviors are right or wrong,right,98,right.n.07,anything in accord with principles of justice,ethic.n.01/ethics.n.01/morality.n.01,False,0.353688,ok,False
ethics,9,Moral principles learned by the society to which one belongs that define right and wrong,principles,65,ethic.n.01,the principles of right and wrong that are accepted by an individual or a social group,ethic.n.01/ethics.n.01/morality.n.01,True,0.61734,ok,True
ethics,10,Set of conventionally shared unwritten rules,set,134,solution.n.04,the set of values that give a true statement when substituted into an equation,ethic.n.01/ethics.n.01/morality.n.01,False,0.361177,ok,False
ethics,11,A heuristic is a mental strategy that helps people make decisions or solve problems quickly without considering every possible option in detail.,strategy,21,game_plan.n.01,(figurative) a carefully thought out strategy for achieving an objective in war or politics or business or personal affairs,ethic.n.01/ethics.n.01/morality.n.01,False,0.410565,ok,False
ethics,12,Etica: insieme di regole morali che una persona segue,persona,10,villain.n.02,the principal bad character in a film or work of fiction,ethic.n.01/ethics.n.01/morality.n.01,False,0.289123,ok,False
ethics,13,"This field of philosophy is a large research topic, this field deals with many world problems theoretically and trys to solve, centuries long, problems on what can be considered right or wrong.",large,1,large.n.01,a garment size for a large person,ethic.n.01/ethics.n.01/morality.n.01,False,0.086179,ok,False
ethics,14,"Container, usually made of ceramic or glass, used for serving tea or other infusions.",container,300,cup.n.01,a small open container usually used for drinking; usually has a handle,ethic.n.01/ethics.n.01/morality.n.01,False,0.528012,ok,False
ethics,15,Set of values and behaviours that regulates human behaviour,set,134,image.n.07,(mathematics) the set of values of the dependent variable for which a function is defined,ethic.n.01/ethics.n.01/morality.n.01,False,0.414332,ok,False
ethics,16,combination of written and non-written rules on which human interaction is based,combination,35,combination.n.03,a sequence of numbers or letters that opens a combination lock,ethic.n.01/ethics.n.01/morality.n.01,False,0.389145,ok,False
ethics,17,Discipline that studies rules of behavior that respect morality and common sense,discipline,180,ethics.n.02,the philosophical study of moral values and rules,ethic.n.01/ethics.n.01/morality.n.01,False,0.624606,ok,False
ethics,18,The morals of people who define right behavior,morals,8,conscience.n.01,motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions,ethic.n.01/ethics.n.01/morality.n.01,False,0.533066,ok,False
ethics,19,Set of moral values adopted by the social context we live in,set,134,four_hundred.n.01,the exclusive social set of a city,ethic.n.01/ethics.n.01/morality.n.01,False,0.416786,ok,False
ethics,20,"Container of various sizes to store liquids, generally used to make tea and other infusions.",container,300,caddy.n.01,a can for storing tea,ethic.n.01/ethics.n.01/morality.n.01,False,0.609797,ok,False
ethics,21,It is a philosophical subject that studies human behavior in certain contexts to understand what is right and what is wrong.,subject,208,metaphysics.n.01,the philosophical study of being and knowing,ethic.n.01/ethics.n.01/morality.n.01,False,0.577548,ok,False
ethics,22,"A container of various shapes and materials, but featuring a spout, a handle and a lid. It is used to brew tea leaves or other ingredients.",container,300,pitcher.n.02,an open vessel with a handle and a spout for pouring,ethic.n.01/ethics.n.01/morality.n.01,False,0.528225,ok,False
ethics,23,A teapot is a container used mainly for infusions or herbal teas.,container,300,caddy.n.01,a can for storing tea,ethic.n.01/ethics.n.01/morality.n.01,False,0.55931,ok,False
ethics,24,"branch of philosophy that studies human behavior, and in particular analyzes what is right or wrong, and what collective behaviors lead to good or evil.",right,98,right.n.07,anything in accord with principles of justice,ethic.n.01/ethics.n.01/morality.n.01,False,0.344263,ok,False
ethics,25,A philosophy that humans pursue to behave in the most correct way based on the situation,philosophy,187,relativism.n.01,(philosophy) the philosophical doctrine that all criteria of judgment are relative to the individuals and situations involved,ethic.n.01/ethics.n.01/morality.n.01,False,0.592589,ok,False
ethics,26,Branch of philosophy that studies human behavior by trying to define what is right and what is wrong.,right,98,human_right.n.01,(law) any basic right or freedom to which all human beings are entitled and in whose exercise a government may not interfere (including rights to life and liberty as well as freedom of thought and expression and equality before the law),ethic.n.01/ethics.n.01/morality.n.01,False,0.394084,ok,False
ethics,27,Comportamento morale volto al perseguimento di azioni considerate &quot;giuste&quot; in determinati contesti,al,4,alum.n.01,a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum,ethic.n.01/ethics.n.01/morality.n.01,False,0.012109,ok,False
ethics,28,Abstract concept that divides human behaviours into good and bad,abstract,66,teacher.n.02,a personified abstraction that teaches,ethic.n.01/ethics.n.01/morality.n.01,False,0.399267,ok,False
tree,1,"a plant with roots, trunk, branches and foliage used to obtain timber and produce paper",plant,300,spanish_moss.n.01,dense festoons of greenish-grey hairlike flexuous strands anchored to tree trunks and branches by sparse wiry roots; southeastern United States and West Indies to South America,tree.n.01,False,0.50371,ok,False
tree,2,"The CONCRETE and GENERIC concepts indicate something physical but generic.            The tree, the car, the table, the sheep,      are concrete but generic things.            l&#039;albero e&#039; un qualcosa di fisico , ci fa pensare alle foglie ai frutti      il tavolo e&#039; anche qualcosa di fisico ci fa pensare al pranzo , la cena      la pecora e&#039; anche qualcosa di fisico che ci fa pensare alla lana",concrete,3,cement.n.01,concrete pavement is sometimes referred to as cement,tree.n.01,False,0.538831,ok,False
tree,3,"Plant, with different types and generic size, having leaves, branches, roots.",plant,300,coast_boykinia.n.01,plant with leaves mostly at the base and openly branched clusters of small white flowers; western North America,tree.n.01,False,0.486015,ok,False
tree,4,High and solid Kind of plant composed by a trunk covered in bark and a foliage Made by leaf.      It has roots that keep it anchored to the ground,kind,31,type.n.01,a subdivision of a particular kind of thing,tree.n.01,False,0.139928,ok,False
tree,5,"Living being that lives in the ground and is characterized by a trunk, branches, leaves and sometimes flowers or fruits",ground,127,pinetum.n.01,an area planted with pine trees or related conifers,tree.n.01,False,0.352524,ok,False
tree,6,"tree: plant made by a tunk, branches and leaves",tree,300,sissoo.n.01,East Indian tree whose leaves are used for fodder; yields a compact dark brown durable timber used in shipbuilding and making railroad ties,tree.n.01,True,0.556626,ok,False
tree,7,An organizations of sounds that can be made through specific instruments and/or human voices.,organizations,300,musical_organization.n.01,an organization of musicians who perform together,tree.n.01,False,0.593423,ok,False
tree,8,woody plant with branches and leaves,plant,300,spanish_moss.n.01,dense festoons of greenish-grey hairlike flexuous strands anchored to tree trunks and branches by sparse wiry roots; southeastern United States and West Indies to South America,tree.n.01,False,0.576479,ok,False
tree,9,"Type of plant composed of roots, trunk, branches and leaves.",type,31,breed.n.02,a special type,tree.n.01,False,0.29807,ok,False
tree,10,"Organic component born from a seed, composed of roots, trunk, leaves and branches",component,300,butt.n.02,the part of a plant from which the roots spring or the part of a stalk or trunk nearest the roots,tree.n.01,False,0.46693,ok,False
tree,11,"A tool is an object used to perform practical tasks more easily, especially when building, repairing, cutting, or measuring something.",object,300,cutout.n.03,a part that is cut out or is intended to be cut out,tree.n.01,False,0.415068,ok,False
tree,12,"Albero: pianta composta da tronco e rami, di altezza variabile, spesso produttrice di frutta.",da,1,district_attorney.n.01,an official prosecutor for a judicial district,tree.n.01,False,0.027864,ok,False
tree,13,"A usually thick and tall (depending on the region) woody type of plant, this plant is mostly covered in bark and fetures a bit ammount of roots and branches and leaves on the bottom and the top respectively. The age of a tree us the number of circles in the log",region,300,field.n.01,a piece of land cleared of trees and usually enclosed,tree.n.01,False,0.442267,ok,False
tree,14,"A set of rhythmic sounds often produced by percussion or string instruments, or created through their digital manipulation, often accompanied by one or more singers.",set,134,choir.n.02,a family of similar musical instrument playing together,tree.n.01,False,0.421251,ok,False
tree,15,"Organism covered in bark, leaves that cover the branches and at the base it has roots situated under the dirt",organism,300,volvaria_bombycina.n.01,a parasite on various trees,tree.n.01,False,0.43275,ok,False
tree,16,"plant with roots, branches, trunk and leaves",plant,300,spanish_moss.n.01,dense festoons of greenish-grey hairlike flexuous strands anchored to tree trunks and branches by sparse wiry roots; southeastern United States and West Indies to South America,tree.n.01,False,0.604432,ok,False
tree,17,Complex terrestrial plant characterized by a woody trunk and apical branches on which leaves grow,plant,300,coast_boykinia.n.01,plant with leaves mostly at the base and openly branched clusters of small white flowers; western North America,tree.n.01,False,0.561629,ok,False
tree,18,"Plant composed of leaves, branches and bark, in which the sap flows inside it",plant,300,woody_plant.n.01,a plant having hard lignified tissues or woody parts especially stems,tree.n.01,False,0.4392,ok,False
tree,19,"Plant serveral years old, composed by a wooden log that usually splits into several branches. Depending on the season it might display flowers or leaves depending on the season",plant,300,perennial.n.01,(botany) a plant lasting for three seasons or more,tree.n.01,False,0.516731,ok,False
tree,20,"Set of sounds having a rhythm, used to dance or just listen.      Generally done using instruments.",set,134,choir.n.02,a family of similar musical instrument playing together,tree.n.01,False,0.377867,ok,False
tree,21,"It is a plant that extends in height, with a woody trunk at the base, at the top it estende with branches which in turn are composed of leaves.",plant,300,strangler.n.01,an epiphytic vine or tree whose aerial roots extend down the trunk of a supporting tree and coalesce around it eventually strangling the tree,tree.n.01,False,0.498884,ok,False
tree,22,"Art that has no visual or tactile representation but seeks to express concepts through harmonies, allowing the listener to form their own mental or emotional associations.",art,137,dance.n.01,an artistic form of nonverbal communication,tree.n.01,False,0.504997,ok,False
tree,23,A musical content is composed of a soundtrack and/or lyrics.,content,300,fa_la.n.01,meaningless syllables in the refrain of a partsong,tree.n.01,False,0.403244,ok,False
tree,24,a type of plant that generally have radix and branches with leaves.,type,31,breed.n.02,a special type,tree.n.01,False,0.356536,ok,False
tree,25,A type of plant that grows high and is made of hard wood and can present leaves and flowers.,type,31,breed.n.02,a special type,tree.n.01,False,0.34225,ok,False
tree,26,"Plant of generic dimensions, composed of branches, roots and leaves",plant,300,flame_flower.n.02,plant with fleshy roots and erect stems with narrow succulent leaves and one reddish-orange flower in each upper leaf axil; southwestern United States; Indians once cooked the fleshy roots,tree.n.01,False,0.450654,ok,False
tree,27,"(Definizione classica) Struttura legnosa di altezza variabile, con tronco più o meno robusto e con foglie agli estremi dei rami      (Definizione informatica) struttura dati dove ogni nodo presenta zero, uno o due figli. Se non ci sono figli allora il nodo è chiamato foglia altrimenti sarà parte di un ramo",con,6,sting_operation.n.01,a complicated confidence game planned and executed with great care (especially an operation implemented by undercover agents to apprehend criminals),tree.n.01,False,0.16637,ok,False
tree,28,"Natural element that produces fruits or flower depending on the species, according ti the season",element,258,calcium.n.01,a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals,tree.n.01,False,0.437874,ok,False
teapot,1,"kitchen tool used to infuse tea leaves in boiling water, usually made of ceramic",kitchen,5,kitchen.n.01,a room equipped for preparing meals,teapot.n.01,False,0.188514,ok,False
teapot,2,"The concept of CONCRETE and SPECIFIC indicates something physical but generic.      Football, swimming, karate...            Football is something you do physically, so we associate it with players, stadiums, and television.",concept,244,component.n.01,an abstract part of something,teapot.n.01,False,0.389935,ok,False
teapot,3,Metal container usually used for heating general liquids.,metal,216,alloy.n.01,a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten,teapot.n.01,False,0.522921,ok,False
teapot,4,Small container for liquids used to pour hot beverages in mugs and cups.      It is usually used to let decant and infuse leaves of tea.,container,300,cup.n.01,a small open container usually used for drinking; usually has a handle,teapot.n.01,False,0.621465,ok,False
teapot,5,Tool used to make tea,tool,245,pallet.n.03,a hand tool with a flat blade used by potters for mixing and shaping clay,teapot.n.01,False,0.457502,ok,False
teapot,6,teapot : recipient which has a pot-bellied shape with a handle beak and lid and contains tea on the inside,teapot,1,teapot.n.01,pot for brewing tea; usually has a spout and handle,teapot.n.01,True,0.637789,ok,True
teapot,7,The philosophy that studies what are the right behaviours within human society,philosophy,187,casuistry.n.02,moral philosophy based on the application of general ethical principles to resolve moral dilemmas,teapot.n.01,False,0.529314,ok,False
teapot,8,"container, often made of ceramic, which is intended to contain tea during serving and infusion",container,300,caddy.n.01,a can for storing tea,teapot.n.01,False,0.516904,ok,False
teapot,9,"Container, normally made of ceramic, used to heat water and prepare tea. Also used for table setting.",container,300,caddy.n.01,a can for storing tea,teapot.n.01,False,0.504514,ok,False
teapot,10,Container useful for holding and pouring tee,container,300,glass.n.02,a container for holding liquids while drinking,teapot.n.01,False,0.658207,ok,False
teapot,11,A microscope is a instrument used to observe objects that are too smalll to be seen clearly wicth the naked eye.,instrument,300,ophthalmoscope.n.01,medical instrument for examining the retina of the eye,teapot.n.01,False,0.706432,ok,False
